"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2018&vo=0&v=H&start=1980&end=2018&s=INTL.44-1-AFRC-QBTU.A&showdm=y"
"Tue Nov 12 2019 11:03:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Brunei","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,20.7735,21.2321,21.4634,22.1386,23.1921,23.2628,23.9945,25.0691,25.7907,25.4106,25.2683,26.0397,26.7826,27.5177,28.5832,29.4131,29.5614,29.676,30.981,31.0281,30.4276,29.8901,30.667,31.8153,32.1058,31.4236,30.6356,30.5114,29.7591,30.1542,30.8306
"","Bulgaria","billion $2010 ppp",68.0371,71.2677,72.9282,75.4347,77.991,80.0927,83.4861,88.5943,98.17559,94.8072,86.1318,78.8712,73.1851,72.1558,73.49109,75.5068,68.683,66.7198,69.91,71.5384,75.2077,78.0937,82.6289,86.9043,92.5874,99.0896,105.8821,113.8855,120.6937,116.2132,117.5981,120.0994,120.0376,120.4111,122.7811,127.0782,132.0508,137.0704,141.6883
"","Burkina Faso","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,7.25094,7.40716,7.36206,8.03009,8.04839,8.3275,8.43666,8.91905,9.90147,10.5269,11.2962,12.0013,12.2279,13.0366,13.6041,14.6655,15.3223,16.6495,17.646,18.418,19.4862,20.0634,21.758,23.1999,24.6969,26.1275,27.258,28.3196,29.9947,32.0044,34.1047
"","Burundi","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,4.64684,4.70979,4.87824,5.17941,5.25411,4.89589,4.73518,4.35426,3.99751,4.0104,4.20762,4.25403,4.33307,4.39555,4.50721,4.61471,4.7856,4.99679,5.26866,5.45293,5.71453,5.93334,6.237,6.48638,6.77442,7.1818,7.50478,7.20437,7.13017,7.0414,6.9503
"","Cambodia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,8.40913,8.38737,8.48468,9.12839,9.77011,10.1699,10.9504,11.5989,12.1325,12.8143,13.4562,15.0587,16.379,17.7136,18.879,20.4848,22.6031,25.598,28.3552,31.251,33.3422,33.3711,35.361,37.8609,40.6101,43.6477,46.7343,50.0226,53.4654,57.2117,61.3614
"","Cameroon","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,37.5997,36.9157,34.6618,33.3416,32.308,29.7453,30.3771,31.4311,32.8019,34.5178,36.0719,37.6201,38.9569,40.6586,42.3813,44.317,47.3221,48.2783,49.9477,52.3962,54.2242,55.4164,57.313,59.6796,62.391,65.7628,69.6324,73.5677,76.9873,79.283,82.375
"","Canada","billion $2010 ppp",654.389,677.145,655.556,672.61,712.356,746.104,762.099,793.133,828.113,847.303,848.689,830.987,838.47,860.78,899.469,923.683,938.637,978.807,1016.961,1069.447,1124.831,1144.955,1179.497,1200.739,1237.808,1277.455,1311.11,1338.286,1351.772,1312.186,1352.726,1395.294,1419.885,1452.969,1494.648,1504.959,1521.62,1566.19,1598.458
"","Cape Verde","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.842437,0.890447,0.896574,0.909186,0.936857,1.00538,1.07502,1.15554,1.23293,1.3271,1.43876,1.60942,1.72636,1.83231,1.9291,2.01944,2.10588,2.2432,2.4707,2.68439,2.86291,2.82654,2.868,2.98183,3.01409,3.03829,3.05686,3.08764,3.2055,3.3319,3.4673
"","Cayman Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.869609,0.94648,1.0714,1.08581,1.1192,1.17277,1.23499,1.29432,1.35894,1.43365,1.86774,1.93096,1.94986,1.96072,1.99454,2.03443,2.0527,2.18602,2.28659,2.35891,2.35048,2.18124,2.122,2.14681,2.17321,2.20101,2.25944,2.32345,2.4056,2.4176,2.4935
"","Central African Republic","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72971,2.76191,2.72516,2.71567,2.85624,3.00342,2.77672,2.94668,3.08083,3.26377,3.3265,3.34747,3.32705,3.09244,3.17804,3.25373,3.40842,3.54582,3.63847,3.70784,3.84,3.91835,4.03192,2.55221,2.57875,2.70253,2.82499,2.9493,3.0761
"","Chad","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,6.35463,6.47867,6.68612,7.38161,7.55818,7.40142,7.80806,7.74754,7.91141,8.35863,8.93973,8.87867,8.80054,9.82651,10.6609,12.2304,16.3433,17.7016,17.8163,18.3993,18.9628,19.7477,22.433,22.4599,24.438,25.8439,27.6253,28.1143,26.3062,25.4794,26.3664
"","Chile","billion $2010 ppp",78.008,81.681,73.22509,70.4823,76.1248,81.54041,86.1019,91.66959,98.3443,108.9819,113.1142,121.9712,136.6606,146.1131,154.4178,170.9903,181.9883,195.3736,204.0875,203.0322,213.8866,220.9677,227.8249,237.1779,254.2068,268.9294,285.9206,299.9781,310.4328,305.613,323.6042,343.1413,361.6292,376.4408,383.0353,391.7902,396.4493,402.9722,419.128
"","China","billion $2010 ppp",696.686,732.217,798.117,884.313,1018.728,1155.238,1258.054,1405.247,1562.634,1628.265,1691.767,1849.102,2113.214,2406.46,2719.651,3017.827,3317.245,3623.648,3908.868,4208.529,4564.636,4943.79,5394.46,5934.92,6534.21,7279.1,8204.08,9372.66,10300,11200,12400,13600,14700,15800,17000,18200,19400,20689.5,22051.71
"","Colombia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,231.844,240.689,250.649,257.485,268.33,283.647,295.957,311.354,317.755,328.655,330.528,316.632,326.595,332.074,340.39,353.727,372.591,390.128,416.576,445.104,459.602,465.142,485.364,521.1,541.438,566.165,592.936,610.462,623.204,633.579,648.636
"","Comoros","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.662365,0.641298,0.673948,0.637585,0.691977,0.712777,0.675166,0.69954,0.690505,0.718334,0.727548,0.741547,0.821991,0.841167,0.860723,0.878833,0.895703,0.921118,0.945499,0.953065,0.956879,0.975539,0.997,1.02292,1.05361,1.09049,1.11297,1.12427,1.149,1.1777,1.2147
"","Congo-Brazzaville","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,12.2281,12.4439,12.5687,12.8698,13.2059,13.0766,12.3583,12.8508,13.6722,13.339,13.819,13.4594,14.4788,15.0304,15.7191,15.8462,16.4119,17.6669,18.7695,18.4704,19.5656,21.0331,22.866,23.6419,24.5471,25.3502,27.0848,27.8016,27.2832,26.1456,26.407
"","Congo-Kinshasa","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,48.4822,47.8684,44.7242,40.958,36.6574,31.72,30.4829,30.6963,30.3822,28.6756,28.2099,27.0053,25.139,24.611,25.3365,26.7497,28.5522,30.3039,31.9164,33.9142,36.0256,37.0542,39.688,42.4164,45.4224,49.2751,53.9416,57.6723,59.0561,61.2417,63.7525
"","Cook Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Costa Rica","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,21.5885,22.7134,23.5033,24.2003,26.4258,28.2988,29.5686,30.7873,31.1684,32.9029,35.1935,36.5813,37.9835,39.3093,40.6033,42.3312,44.1669,45.8765,49.1969,53.2153,55.6896,55.1491,57.88,60.373,63.269,64.7046,66.9792,69.4117,72.3589,74.7326,76.675
"","Cote dIvoire","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,37.9759,39.0962,38.67,38.6855,38.5888,38.5193,38.5852,40.7352,44.0494,46.5703,48.8667,49.6574,48.6304,48.6893,47.8772,47.226,47.8078,48.6306,49.3679,50.2392,51.5168,53.1916,54.265,51.9864,57.2381,62.5452,68.0454,74.0627,80.241,86.5006,92.6854
"","Croatia","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,54.5828,50.2161,53.1788,56.795,60.2027,64.1159,65.735,65.1688,67.4306,69.7744,73.4352,77.5196,80.543,83.7991,87.8828,92.49509,94.3363,87.46811,86.2007,85.9379,84.0229,83.6135,83.5296,85.5029,88.5387,91.125,93.6732
"","Cuba","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,81.3156,81.8686,79.4547,70.9588,62.7414,53.4066,53.7895,55.1112,59.4312,61.0805,61.1793,64.9667,68.8099,71.0015,72.0136,74.7454,79.0583,87.9127,98.5216,105.675,110.027,111.623,114.291,117.494,121.036,124.362,125.665,131.242,130.111,132.451,135.125
"","Cyprus","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5197,17.1223,17.5746,18.6486,19.5806,20.7486,21.5688,22.3716,22.9586,24.1126,25.2827,26.4744,27.8243,28.8392,28.258,28.635,28.7509,27.9231,26.3038,25.9588,26.4682,27.7419,28.9168,29.9909
"","Czech Republic","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,--,178.88,182.8502,193.7773,201.3767,200.1335,199.4933,202.0478,211.3355,217.4569,220.8706,228.817,239.7124,255.5436,273.5039,288.7871,296.051,282.2367,288.237,293.3687,291.2327,289.82,297.6872,313.711,321.115,335.704,344.9357
"","Denmark","billion $2010 ppp",134.3944,133.1949,137.2113,140.6655,146.8426,153.1336,158.7216,159.1808,164.4211,164.6749,165.3574,167.5156,170.7939,170.8122,179.9206,185.3679,190.7437,196.9638,201.3327,207.2679,215.0341,216.804,217.8152,218.6647,224.4994,229.745,238.7348,240.9055,239.6721,227.9125,232.1767,235.2803,235.8131,238.0142,241.8686,247.5347,253.4745,259.2091,261.9776
"","Djibouti","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79391,1.71398,1.7236,1.60724,1.58537,1.53021,1.47308,1.45518,1.45683,1.49937,1.51006,1.53713,1.58684,1.63741,1.68291,1.73527,1.81899,1.91024,2.02115,2.05382,2.139,2.29499,2.40612,2.52642,2.67801,2.8521,3.03747,3.2419,3.4689
"","Dominica","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.44011,0.438208,0.461442,0.469722,0.482566,0.481313,0.488202,0.497843,0.515328,0.528182,0.544876,0.548367,0.551857,0.553728,0.542446,0.584022,0.599418,0.597482,0.62478,0.662005,0.713758,0.705707,0.714,0.715271,0.707603,0.703303,0.734443,0.715761,0.734646,0.7019,0.5962
