International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q0000g0000100001004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2011&vo=0&v=H&start=1980&s=INTL.44-1-AFRC-QBTU.A&showdm=y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 12 2019 10:54:34 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,British Virgin Islands,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Brunei,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,337,313,351.7374,358.45,395.18,391.64335,390.5839,379.63625,400.82525,416.36385,434.3745,453.79775,473.221,474.28045,474.28045,505.0045,503.23875,501.473,427.3115,443.20325,476.39935,454.1509,456.2698,419.89535,439.67175,NA,NA,-,-
,Bulgaria,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353,0.324549697,1.4126,2.472,2.12,1.77,1.41,1.4126,1.05945,0.7063,0.7063,0.7063,0.716327236,0.752635269,12.52183804,17.73060167,16.97547868,10.5945,3.88465,0.35315,1.76575,12.36025,13.44451019,9.81757,6.3567,3.685263897,NA,NA,-,-
,Burkina Faso,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Burundi,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Cambodia,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Cameroon,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,88.29,88.29,76.9867,87.58,85.46,73.10205,73.10205,73.10205,73.10205,68.86425,62.50755,57.2103,53.32565,60.0355,65.33275,0,69.2174,69.2174,69.2174,83.69655,84.756,66.60409,70.98315,76.245085,90.4064,NA,NA,-,-
,Canada,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4895.72,5120.22,5581.08,6039.041,6479.14,6798.49,6968.956155,7061.5874,7261.82345,7445.1083,7679.5999,7826.5103,7785.89805,7608.61675,7698.67,7734.33815,7784.55608,7625.35606,7368.61601,6927.67292,6695.335535,6669.23775,6310.29609,6456.07641,6814.276455,6751.698275,NA,NA,-,-
,Cape Verde,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Cayman Islands,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Central African Republic,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Chad,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35315,0.35315,0.35315,0.35315,0.35315,0.35315,NA,NA,-,-
,Chile,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,146,167.300917,148.32,149.74,133.49,129.2529,113.36115,108.0639,104.5324,100.64775,104.5324,79.88253,68.405155,65.862475,70.382795,67.133815,69.535235,68.08732,69.747125,66.780665,57.245615,46.26265,36.692285,29.09956,38.56398,NA,NA,-,-
