Macrotrends Data Download,,,,,,,,https://www.macrotrends.net/2562/us-crude-oil-production-historical-chart
,,,,,,,,
U.S. Crude Oil Production - Historical Chart,,,,,,,,
,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,
,,,,,,,,
,,,,,,,,
date, value,barrels / day,,,,,,
10/1/14,8972,,,,,,,
11/1/14,9083,,,,,,,
12/1/14,9121,,,,,,,
1/1/15,9177,,,,,,,
2/1/15,9324,,,,,,,
3/1/15,9386,,,,,,,
4/1/15,9373,,,,,,,
5/1/15,9586,,,,,,,
6/1/15,9595,,,,,,,
7/1/15,9465,,,,,,,
8/1/15,9218,,,,,,,
9/1/15,9096,,,,,,,
10/1/15,9160,,,,,,,
11/1/15,9202,,,,,,,
12/1/15,9202,,,,,,,
1/1/16,9214,,,,,,,
2/1/16,9077,,,,,,,
3/1/16,9022,,,,,,,
4/1/16,8825,,,,,,,
5/1/16,8735,,,,,,,
6/1/16,8622,,,,,,,
7/1/16,8460,,,,,,,
8/1/16,8488,,,,,,,
9/1/16,8467,,,,,,,
10/1/16,8522,,,,,,,
11/1/16,8699,,,,,,,
12/1/16,8770,,,,,,,
1/1/17,8915,,,,,,,
2/1/17,9032,,,,,,,
3/1/17,9199,,,,,,,
4/1/17,9293,,,,,,,
5/1/17,9342,,,,,,,
6/1/17,9338,,,,,,,
7/1/17,9430,,,,,,,
8/1/17,9530,,,,,,,
9/1/17,9561,,,,,,,
10/1/17,9553,,,,,,,
11/1/17,9682,,,,,,,
12/1/17,9782,,,,,,,
1/1/18,9919,,,,,,,
2/1/18,10283,,,,,,,
3/1/18,10460,,,,,,,
4/1/18,10619,,,,,,,
5/1/18,10769,,,,,,,
6/1/18,10900,,,,,,,
7/1/18,10900,,,,,,,
8/1/18,11000,,,,,,,
9/1/18,11100,,,,,,,
10/1/18,11200,,,,,,,
11/1/18,11700,,,,,,,
