"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0040000010000000000000000000000000000000000000000000000004&c=4100000002000060000000000000g000200000000000000001&vs=INTL.44-1-AFRC-QBTU.A&vo=0&v=H&start=1980&end=2016&showdm=y"
"Tue Nov 12 2019 10:45:57 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Asia & Oceania","quad Btu",2.698593,2.8686784,2.9191318,3.2417968,3.7894886,4.2195964,4.5378524,4.8061204,5.1764046,5.3803336,5.8023530411636,6.110314671695,6.46999690799,6.90021445632,7.55744922313,8.05652793106,8.65305427287,9.03331701097,9.052523038405,9.604884670885,9.636612867595,9.538550034335,10.44529334807,10.97642981799,11.300863567,12.32265803006,13.586107147772,14.560542137886,15.189575251095,16.008122919145,17.910124261376,17.922944526728,17.946347000467,18.425398545123,19.035079593758,19.774663651259,20.652005762648
"","Central & South America","quad Btu",1.369422,1.5179689,1.5911009,1.6445149,1.8823175,1.9383792,1.9700372,1.8832037,2.0128622,2.3036117,2.19014123337,2.353947573565,2.33640202408,2.494388900835,2.64859678103,2.802057305835,3.00356815444,3.173570150065,3.395781241335,3.405504873435,3.7008832441,3.9568351291,3.98692040362,4.402879720295,4.861872730575,5.01911407228,5.40525494866,5.318118949465,5.47504805498,5.22286524193,5.6016514874904,5.8243315726064,6.0508243721095,6.2293257173996,6.2975274930457,6.3328958043778,6.3918175189883
"","Eurasia","quad Btu",15.9848,16.41357,17.66232,18.908073,21.407808,23.433624,24.82407,26.017308,27.898992,28.841886,29.530332,28.966476,27.814797629,27.209238834,25.70946073,25.17437526,24.2258348175,22.90743376229,23.27843556542,23.6568079622,24.46937037342,24.71252311843,25.27260432739,26.12530061162,27.087883720835,27.63763864722,28.21663923176,28.559130592657,28.84634792546,25.245505339077,27.666445057405,29.308509425895,28.999231744805,29.619267229265,29.11112749888,29.21940900991,29.159557921089
"","Europe","quad Btu",8.7765396,8.6409309,8.253435,8.5042946,8.5935578,8.7822318,8.7150063,8.9351567,8.5417031,8.6089341,8.3678258809442,8.76810022879,8.82620784755,9.226804697265,9.323641747105,9.73797698546,11.00299713009,10.635627954945,10.474655616355,10.724866911675,11.03397094891,11.157179298195,11.46601305269,11.562036409385,12.00466537186,11.630574553045,11.2293114059,10.807838797875,11.20266279335,10.690502238325,11.038282680558,10.054353500089,10.172471335471,9.8935487508527,9.2294873952582,9.1041280839905,9.0450845480722
"","Middle East","quad Btu",1.491693,1.5200896,1.438992,1.5890686,2.101691,2.496819,2.7622646,3.1767599,3.4690726,3.8692772,3.7732057411511,3.925790162,4.37722759435,4.63695300805,4.9092796,5.2235888,5.66746597375,6.5162051416,6.9044102232,7.25617305,7.9267519275,8.3482986069,9.13921935045,9.64100877285,10.4346777297,11.82779832885,12.54381489795,13.3346106264,14.325510715215,15.61067643177,17.72398479593,19.407067362384,20.478824733319,21.141496110776,21.602501079676,22.221479295987,23.019903628643
"","North America","quad Btu",23.663903,23.421552,22.203994,20.286013,21.912381,21.126067,20.374055,21.229162,22.187225,22.535753,23.23225372,23.3503825,23.947512052,24.60248779785,25.855478081925,25.84346711173,26.371073762445,26.52412967713,27.05897625056,27.08666296335,27.6248298336,28.27996518,27.571798191595,27.727707427355,27.19687245255,26.84743046506,27.48979139178,28.20916245745,28.76774710084,29.21480224339,29.223568796767,30.616204792587,31.65109114339,31.967797810215,33.94430246676,35.319809186384,34.836373024987
"","World","quad Btu",54.7610455,55.5735367,55.4955229,56.1159513,61.7585979,64.1245224,65.3286483,68.4560901,71.8529377,74.2753347,75.710611010224,76.54630876405,76.98422295815,78.26171641217,79.09593156219,80.259389084885,82.472672613445,82.67449685045,84.254563703725,86.177673988795,89.284231806125,91.07169427646,93.015439781915,96.017745716345,98.69077174902,102.05366808634,105.96488349835,108.24629362039,111.65558542346,109.55747386731,116.94567816519,121.0026432365,123.53319124567,125.03191443762,126.99005315764,129.64451528614,130.94937856148
"","Consumption",""
"","Consumption",""
"","Africa","quad Btu",6.8077536933763,7.0037884323999,7.6123695922666,8.0125052043627,8.4143449769723,8.6377867153801,8.8028260110919,9.1272829678263,9.4512452108807,9.6415306791378,9.9411241591657,10.12505518218,10.196993163514,10.285608717167,10.513996610207,10.971237057888,11.337306353349,11.61779201075,11.812027241035,11.848055614875,12.32293314946,12.769287447192,13.136782039359,13.681573876542,14.144410480438,14.908773259228,15.183344629857,15.699368587481,16.37208732567,16.37032777276,17.173395839348,17.584485493171,18.389314180718,18.650291584274,19.410620922447,19.549542883631,19.963159505436
