Date,International Petrol Consumption,International Petrol Production
Apr-03,207.993829,234041.753
May-03,207.2807651,233874.4725
Jun-03,206.12055149999998,231729.6324
Jul-03,208.2739864,234274.0202
Aug-03,209.43028930000003,235877.0328
Sep-03,211.59202740000003,238229.7037
Oct-03,214.4805037,241455.6413
Nov-03,214.88476310000001,242482.0311
Dec-03,219.5626922,246384.5893
Jan-04,218.4421234,246013.0128
Feb-04,219.1023222,246035.5316
Mar-04,218.58470309999998,245765.5496
Apr-04,217.2722003,245367.0491
May-04,215.14540380000003,244097.1872
Jun-04,220.0822562,249082.8288
Jul-04,221.81867430000003,250922.3578
Aug-04,219.34720959999999,247692.6
Sep-04,220.62969640000003,249442.4574
Oct-04,222.8343832,252060.0357
Nov-04,222.6476219,251506.6656
Dec-04,223.0051914,250492.6728
Jan-05,223.0249669,251644.46
Feb-05,224.7568187,252807.96300000002
Mar-05,224.8777738,253257.488
Apr-05,223.8953344,254515.81600000002
May-05,224.39404629999999,255410.417
Jun-05,224.29011780000002,253969.647
Jul-05,223.22511740000002,253052.16600000003
Aug-05,224.66276000000002,253743.11
Sep-05,222.0661056,251696.935
Oct-05,221.4114732,251641.432
Nov-05,224.6424008,254021.52399999998
Dec-05,225.34674069999997,253142.795
Jan-06,222.98241919999998,253010.582
Feb-06,223.61378219999997,253162.26899999997
Mar-06,222.4900254,252072.643
Apr-06,221.39967180000002,252987.37
May-06,220.9064097,252335.55800000002
Jun-06,221.7254977,252296.902
Jul-06,224.59855699999997,256282.52899999998
Aug-06,224.6080025,255642.322
Sep-06,222.9276069,254137.165
Oct-06,223.7375102,254936.461
Nov-06,223.0980621,253378.228
Dec-06,222.7685315,252543.87300000002
Jan-07,221.4790608,251945.11800000002
Feb-07,223.23839269999996,252833.723
Mar-07,222.09792969999998,252475.675
Apr-07,222.2849267,253734.754
May-07,221.20404469999997,252705.105
Jun-07,221.45811859999998,252607.10199999998
Jul-07,222.64140780000002,254023.47
Aug-07,221.08596459999998,251607.16199999998
