Year,Country,Latitude,Longitude,,1982
1983,Pakistan_Land,30.3753,69.3451,,200
1983,Pakistan_Offshore,24.835163,65.836649,,0
1983,Qatar_Land,25.3548,51.1839,,16
1983,Qatar_Offshore,26.107471,51.508125,,24
1983,Saudi Arabia_Land,23.8859,45.0792,,165
1983,Saudi Arabia_Offshore,27.344232,49.822766,,141
1983,Sudan_Land,12.8628,30.2176,,0
1983,Sudan_Offshore,19.95965,37.888199,,0
1983,Syria_Land,34.8021,38.9968,,179
1983,Syria_Offshore,35.300099,35.564153,,0
1983,Yemen_Land,15.5527,48.5164,,0
1983,Yemen_Offshore,14.122308,49.541496,,0
1983,Algeria_Land,28.0339,1.6596,,645
1983,Algeria_Offshore,37.107205,2.958948,,0
1983,Angola_Land,-11.2027,17.8739,,31
1983,Angola_Offshore,-9.276394,11.420851,,108
1983,Congo_Land,-4.038333,21.758664,,1
1983,Congo_Offshore,-5.994939,11.681123,,50
1983,Gabon_Land,-0.803689,11.609444,,5
1983,Gabon_Offshore,-1.163403,8.376585,,82
1983,Kenya_Land,-0.023559,37.906193,,0
1983,Kenya__Offshore,-3.49976,40.801566,,0
1983,Libya_Land,26.3351,17.2283,,271
1983,Libya__Offshore,31.683681,18.512678,,22
1983,Nigeria_Land,9.0820,8.6753,,112
1983,Nigeria_Offshore,4.113485,6.999522,,94
1983,S.Africa_Land,-30.5595,22.9375,,0
1983,S.Africa_Offshore,-31.842791,16.674006,,24
1983,Tunisia_Land,33.886917,9.537499,,65
1983,Tunisia_Offshore,,,,21
1983,Argentina_Land,-38.4161,-63.6167,,873
1983,Argentina_Offshore,-51.313678,-66.678394,,4
1983,Bolivia_Land,-16.2902,-63.5887,,92
1983,Bolivia_Offshore,,,,0
1983,Brazil_Land,-14.2350,-51.9253,,649
1983,Brazil_Offshore,-22.197004,-40.435152,,350
1983,Chile_Land,-35.6751,-71.5430,,36
1983,Chile_Offshore,-32.775184,-73.644858,,36
1983,Colombia_Land,4.5709,-74.2973,,214
1983,Colombia_Offshore,4.919216,-78.594368,,1
1983,CostaRica_Land,9.7489,-83.7534,,12
1983,CostaRica_Offshore,10.68845,-82.219293,,0
1983,Ecuador_Land,"	-1.831239",-78.1834,,56
1983,Ecuador_Offshore,-0.614287,-81.483334,,1
