,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Qatar*,3,1,1,2,0,1,2,1,1,2,2,2,1,1,2,4,4,3,3,2,2,1,1,2,2,3,2,1,2,2,3,3,3,2,4,4,4,3
Qatar*_Offshore,2,2,1,2,0,0,1,2,1,1,2,2,3,3,6,10,8,3,4,7,11,6,8,10,9,10,9,8,7,6,5,6,7,5,4,5,6,10
Saudi Arabia*,16,14,9,7,5,4,4,4,8,14,16,15,13,14,13,24,25,18,22,27,29,29,28,34,58,69,65,57,54,55,62,65,83,103,108,101,99,96
Saudi Arabia*_Offshore,14,12,6,5,1,1,1,1,1,1,6,6,4,3,3,2,2,2,4,4,4,4,4,3,7,8,11,11,12,12,18,18,20,21,17,17,18,19
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sudan_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,15,15,23,26,27,22,22,24,17,14,17,15,12,13,14,14,14,13,14,19,22,24,24,22,23,21,20,23,25,28,27,2,0,0,0,0,0,0
Syria_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,1,2,5,4,3,2,5,5,8,6,4,3,3,3,4,4,6,6,9,9,9,12,16,15,14,10,13,5,3,5,4,1,0,0,0,0
Yemen_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oth Mid East,5,3,0,1,1,1,0,1,1,0,2,1,2,1,0,0,1,1,1,5,1,1,1,2,2,1,1,2,2,4,4,5,4,2,1,3,1,1
Oth Mid East_Offshore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1
Algeria*,81,55,27,35,41,40,32,24,35,31,30,29,28,28,28,29,23,13,15,20,19,20,19,20,24,27,26,27,25,31,36,47,48,51,54,54,50,46
Algeria*_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Angola_Offshore,8,9,5,8,7,9,10,7,7,6,4,4,5,7,10,8,6,5,6,5,5,4,3,3,4,3,5,4,9,6,8,11,15,11,6,3,4,5
Congo,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,1,2,2,1,0,0,0,0
Congo_Offshore,5,4,3,2,2,3,2,1,2,2,3,2,2,2,3,5,6,3,3,1,1,1,1,1,1,1,1,1,1,2,2,3,4,3,1,2,3,3
Gabon*,3,0,1,1,1,0,3,3,3,3,1,2,2,1,2,3,4,1,1,1,1,2,1,1,2,2,1,1,3,5,4,4,4,2,0,1,3,5
Gabon*_Offshore,9,7,6,6,2,3,2,3,2,2,1,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,0,0,1,2
Kenya,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,11,11,11,9,8,7
